page,page_type,date,keyword_intent,Scenario,ScenarioLabel,ScenarioExplanation,CurrentClicks,CurrentImpressions,CurrentCTR,CurrentPosition,CurrentTrafficValue,CurrentContentScore,CurrentGeoReadinessScore,ScenarioCTR,ScenarioPosition,ScenarioImpressions,ScenarioContentScore,ScenarioGeoReadinessScore,PredictedNextClicks,PredictedNextImpressions,PredictedTrafficValue,EstimatedClickChangePct,EstimatedImpressionChangePct,EstimatedPositionGain,EstimatedGeoScoreGain,EstimatedContentScoreGain,ScenarioNarrative,OpportunityScore,BaselinePredictedClicks,BaselinePredictedImpressions,ClicksUplift,ImpressionsUplift,ClicksUpliftPct,EffortScore,EstimatedImplementationCost,ExpectedIncrementalTrafficValue,BusinessValueHorizonDays,ProjectedIncrementalClicks,ProjectedIncrementalTrafficValue,ExpectedNetValue,EstimatedROI,PaybackPeriod,HistoryRows,ConfidenceLevel,AverageModelR2,OpportunityScoreNormalized,NetValueScoreNormalized,ROIScoreNormalized,CostEfficiencyScore,ConfidenceDecisionScore,BusinessDecisionScore,DecisionEligible
https://demo.example.com/,Demo Category 01,2026-08-15,Transactional,maintain,Maintain Current Setup,Maintain the current SEO and GEO setup without applying additional optimization.,307.79999999999995,3061.24,0.1023,2.39,148.5,20.0,15.0,0.1023,2.39,2639.0,20.0,15.0,341.9465,3238.5609999999997,110.6336,6.43,6.71,0.0,0.0,0.0,"If Maintain Current Setup is applied, estimated clicks may change by 6.4%, impressions by 6.7%, average position may improve by 0.0, and GEO readiness may increase by 0 points.",123.654856,244.2475,2844.3014,0.0,0.0,0.0,1,0.0,0.0,30,0.0,0.0,0.0,0.0,,44.84,High,1.007546,0.0,0.7458808618504447,0.4179970972423828,1.0,1.0,17.007,1.0699999999999998
https://demo.example.com/,Demo Category 01,2026-08-15,Transactional,title_meta_optimization,Title and Meta Optimization,Optimized titles and meta descriptions may improve CTR and organic clicks.,307.79999999999995,3061.24,0.1023,2.39,148.5,20.0,15.0,0.1177,2.09,2718.17,26.0,18.0,347.599,3375.3879999999995,114.7069,8.18,11.22,0.3,3.0,6.0,"If Title and Meta Optimization is applied, estimated clicks may change by 8.2%, impressions by 11.2%, average position may improve by 0.3, and GEO readiness may increase by 3 points.",132.574648,244.2475,2844.3014,3.42,142.776,1.6530363668000696,2,44.800000000000004,2.6125000000000003,30,163.875,80.51249999999999,22.8125,0.6171875,14.484210526315788,44.84,High,1.007546,0.1750154927640785,0.8779045204900726,0.8715529753265618,0.8888888888888888,1.0,64.3931,1.0699999999999998
https://demo.example.com/,Demo Category 01,2026-08-15,Transactional,content_refresh,Content Refresh,Refreshing content and strengthening search-intent alignment may improve ranking and visibility.,307.79999999999995,3061.24,0.1023,2.39,148.5,20.0,15.0,0.1105,1.39,2850.12,38.0,23.0,348.0631,3451.6789999999996,117.1093,8.33,13.73,1.0,8.0,18.0,"If Content Refresh is applied, estimated clicks may change by 8.3%, impressions by 13.7%, average position may improve by 1.0, and GEO readiness may increase by 8 points.",145.535384,244.2475,2844.3014,3.70079999999999,222.38400000000019,1.7887593527057548,5,134.4,2.826999999999993,30,177.32999999999953,87.12299999999976,-31.31700000000015,-0.28242500000000137,40.15564202334641,44.84,High,1.007546,0.4293184627913094,0.5646387832699625,0.2104499274310615,0.6666666666666667,1.0,20.0178,0.0
https://demo.example.com/,Demo Category 01,2026-08-15,Transactional,internal_linking_boost,Internal Linking Improvement,Strengthening internal links between related pages may improve discoverability and authority distribution.,307.79999999999995,3061.24,0.1023,2.39,148.5,20.0,15.0,0.1074,1.69,2902.9,28.0,19.0,351.4784,3451.6789999999996,117.12470000000002,9.39,13.73,0.7,4.0,8.0,"If Internal Linking Improvement is applied, estimated clicks may change by 9.4%, impressions by 13.7%, average position may improve by 0.7, and GEO readiness may increase by 4 points.",137.48498399999997,244.2475,2844.3014,5.767199999999994,222.38400000000019,2.787541325909167,3,67.2,4.405499999999996,30,276.3449999999997,135.76949999999982,43.909499999999895,0.7919749999999981,12.883895131086156,44.84,High,1.007546,0.2713613352094169,1.0,1.0,0.8333333333333334,1.0,72.831,1.0699999999999998
https://demo.example.com/,Demo Category 01,2026-08-15,Transactional,category_expansion,Category SEO Expansion,"Expanding category copy, headings, FAQs and semantic coverage may increase category visibility.",307.79999999999995,3061.24,0.1023,2.39,148.5,20.0,15.0,0.1125,1.09,3034.85,44.0,25.0,353.23959999999994,3451.6789999999996,121.14410000000001,9.94,13.73,1.3,10.0,24.0,"If Category SEO Expansion is applied, estimated clicks may change by 9.9%, impressions by 13.7%, average position may improve by 1.3, and GEO readiness may increase by 10 points.",153.198384,244.2475,2844.3014,6.832799999999965,222.38400000000019,3.302592657038438,6,201.60000000000002,5.219499999999974,30,327.4049999999983,160.85549999999918,-27.484500000000526,-0.16524166666666978,32.62381454162293,44.84,High,1.007546,0.579674403944549,0.5868187579214178,0.2965650701499763,0.5,1.0,25.8904,0.0
https://demo.example.com/,Demo Category 01,2026-08-15,Transactional,structured_data_upgrade,Structured Data Upgrade,Completing page-type-aligned schema may improve machine readability and rich-result eligibility.,307.79999999999995,3061.24,0.1023,2.39,148.5,20.0,15.0,0.1085,1.99,2770.95,25.0,27.0,345.20709999999997,3452.9094999999998,115.0303,7.44,13.78,0.4,12.0,5.0,"If Structured Data Upgrade is applied, estimated clicks may change by 7.4%, impressions by 13.8%, average position may improve by 0.4, and GEO readiness may increase by 12 points.",138.841812,244.2475,2844.3014,1.9727999999999655,223.66800000000043,0.9535409779014972,3,67.2,1.5069999999999737,30,94.52999999999834,46.44299999999918,-13.797000000000525,-0.2488500000000094,37.66423357664299,44.84,High,1.007546,0.2979836960241204,0.6660329531051946,0.2351233671988349,0.8333333333333334,1.0,20.1161,0.0
https://demo.example.com/,Demo Category 01,2026-08-15,Transactional,geo_answer_optimization,GEO Answer Optimization,"Adding direct-answer blocks, summaries and FAQs may increase generative-search visibility potential.",307.79999999999995,3061.24,0.1023,2.39,148.5,20.0,15.0,0.1095,1.89,2850.12,32.0,37.0,348.0631,3452.9094999999998,117.1093,8.33,13.78,0.5,22.0,12.0,"If GEO Answer Optimization is applied, estimated clicks may change by 8.3%, impressions by 13.8%, average position may improve by 0.5, and GEO readiness may increase by 22 points.",151.51781200000002,244.2475,2844.3014,3.70079999999999,223.66800000000043,1.7887593527057548,4,134.4,2.826999999999993,30,177.32999999999953,87.12299999999976,-31.31700000000015,-0.28242500000000137,40.15564202334641,44.84,High,1.007546,0.5466998528893775,0.5646387832699625,0.2104499274310615,0.6666666666666667,1.0,24.1261,0.0
https://demo.example.com/,Demo Category 01,2026-08-15,Transactional,entity_eet_upgrade,Entity and E-E-A-T Upgrade,"Strengthening entity relationships, authorship, freshness and trust signals may improve readiness.",307.79999999999995,3061.24,0.1023,2.39,148.5,20.0,15.0,0.1074,1.79,2823.73,30.0,33.0,344.61209999999994,3451.6789999999996,114.83779999999999,7.26,13.73,0.6,18.0,10.0,"If Entity and E-E-A-T Upgrade is applied, estimated clicks may change by 7.3%, impressions by 13.7%, average position may improve by 0.6, and GEO readiness may increase by 18 points.",146.66158399999998,244.2475,2844.3014,1.6127999999999656,222.38400000000019,0.7795371498172793,4,134.4,1.2319999999999736,30,77.27999999999835,37.967999999999186,-63.07200000000052,-0.5688000000000047,92.14285714285911,44.84,High,1.007546,0.451415665052405,0.3808618504435982,0.0,0.6666666666666667,1.0,11.9878,0.0
https://demo.example.com/,Demo Category 01,2026-08-15,Transactional,full_seo_geo_optimization,Full SEO and GEO Optimization,"Combining metadata, content, internal links, schema, entity signals and GEO components may create the highest growth potential.",307.79999999999995,3061.24,0.1023,2.39,148.5,20.0,15.0,0.1248,1.0,3219.58,52.0,45.0,356.50019999999995,3451.6789999999996,126.87290000000002,10.96,13.73,1.39,30.0,32.0,"If Full SEO and GEO Optimization is applied, estimated clicks may change by 11.0%, impressions by 13.7%, average position may improve by 1.4, and GEO readiness may increase by 30 points.",174.62058399999998,244.2475,2844.3014,8.80559999999997,222.38400000000019,4.256133634939955,9,403.20000000000005,6.726499999999979,30,421.9349999999987,207.29849999999936,-128.88150000000041,-0.38742916666666793,50.629599345870965,44.84,High,1.007546,1.0,0.0,0.1332849540396732,0.0,1.0,17.6657,0.0
https://demo.example.com/page-002,Demo Category 01,2026-07-15,Uncategorized,maintain,Maintain Current Setup,Maintain the current SEO and GEO setup without applying additional optimization.,0.0,1.16,0.0,10.0,0.0,20.0,15.0,0.0,10.0,1.0,20.0,15.0,0.023799999999999998,2.2194999999999996,0.0077,0.0,92.97,0.0,0.0,0.0,"If Maintain Current Setup is applied, estimated clicks may change by 0.0%, impressions by 93.0%, average position may improve by 0.0, and GEO readiness may increase by 0 points.",0.009172,0.017,1.9493,0.0,0.0,0.0,1,0.0,0.0,30,0.0,0.0,0.0,0.0,,0.76,Low,1.007546,0.0,1.0,1.0,1.0,0.35,20.5,1.0699999999999998
